DASYLab - V 12.00.01
Worksheet name: RSG 400K RS232 - MASTER
Recording date     : 5/20/2014,  7:32:23 PM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 2
Measurement time[s]	Disp [in]	Load [lb]	
89.8	1.20420	71600	
89.9	1.20500	71600	
90.0	1.20600	71600	
90.1	1.20670	71600	
90.2	1.20750	71700	
90.3	1.20850	71700	
90.4	1.20920	71700	
90.5	1.21020	71700	
90.6	1.21100	71700	
90.7	1.21200	71800	
90.8	1.21270	71800	
90.9	1.21350	71800	
91.0	1.21450	71900	
91.1	1.21520	71900	
91.2	1.21620	71900	
91.3	1.21700	71900	
91.4	1.21800	71900	
91.5	1.21870	71900	
91.6	1.21970	72000	
91.7	1.22050	72000	
91.8	1.22150	72000	
91.9	1.22220	72000	
92.0	1.22300	72000	
92.1	1.22400	72000	
92.2	1.22470	72000	
92.3	1.22570	72000	
92.4	1.22650	72100	
92.5	1.22750	72100	
92.6	1.22820	72100	
92.7	1.22920	72100	
92.8	1.23000	72100	
92.9	1.23100	72200	
93.0	1.23170	72200	
93.1	1.23270	72200	
93.2	1.23350	72200	
93.3	1.23450	72200	
93.4	1.23520	72300	
93.5	1.23600	72300	
93.6	1.23700	72300	
93.7	1.23770	72300	
93.8	1.23850	72300	
93.9	1.23950	72400	
94.0	1.24020	72400	
94.1	1.24120	72400	
94.2	1.24200	72400	
94.3	1.24270	72400	
94.4	1.24350	72400	
94.5	1.24450	72400	
94.6	1.24520	72400	
94.7	1.24600	72400	
94.8	1.24700	72400	
94.9	1.24770	72400	
95.0	1.24870	72500	
95.1	1.24950	72500	
95.2	1.25020	72500	
95.3	1.25100	72500	
95.4	1.25200	72600	
95.5	1.25280	72600	
95.6	1.25380	72600	
95.7	1.25450	72600	
95.8	1.25530	72600	
95.9	1.25630	72700	
96.0	1.25700	72700	
96.1	1.25780	72700	
96.2	1.25880	72700	
96.3	1.25950	72700	
96.4	1.26030	72700	
96.5	1.26130	72800	
96.6	1.26200	72800	
96.7	1.26280	72800	
96.8	1.26350	72800	
96.9	1.26450	72800	
97.0	1.26530	72800	
97.1	1.26600	72800	
97.2	1.26700	72800	
97.3	1.26780	72800	
97.4	1.26850	72800	
97.5	1.26930	72800	
97.6	1.27030	72900	
97.7	1.27100	72900	
97.8	1.27200	72900	
97.9	1.27280	72900	
98.0	1.27350	72900	
98.1	1.27450	73000	
98.2	1.27530	73000	
98.3	1.27600	73000	
98.4	1.27700	73000	
98.5	1.27780	73000	
98.6	1.27850	73000	
98.7	1.27950	73100	
98.8	1.28030	73100	
98.9	1.28100	73100	
99.0	1.28200	73100	
99.1	1.28280	73100	
99.2	1.28350	73100	
99.3	1.28450	73100	
99.4	1.28530	73200	
99.5	1.28600	73200	
99.6	1.28700	73200	
99.7	1.28780	73200	
99.8	1.28850	73200	
99.9	1.28950	73200	
100.0	1.29030	73200	
100.1	1.29100	73200	
100.2	1.29180	73200	
100.3	1.29280	73200	
100.4	1.29350	73200	
100.5	1.29400	73300	
100.6	1.29500	73300	
100.7	1.29580	73300	
100.8	1.29650	73300	
100.9	1.29750	73300	
101.0	1.29830	73300	
101.0	1.29900	73300	
101.2	1.30030	73400	
101.3	1.30080	73300	
101.4	1.30180	73300	
101.5	1.30260	73400	
101.6	1.30330	73400	
101.7	1.30410	73400	
101.8	1.30510	73400	
101.9	1.30580	73400	
102.0	1.30660	73500	
102.0	1.30760	73500	
102.2	1.30830	73500	
102.3	1.30910	73500	
102.4	1.31010	73500	
102.5	1.31080	73500	
102.6	1.31160	73600	
102.7	1.31260	73600	
102.8	1.31330	73600	
102.9	1.31410	73600	
103.0	1.31510	73600	
103.0	1.31580	73600	
103.2	1.31660	73600	
103.3	1.31760	73600	
